;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
shei 穗 穑 秫 煁 穯 焼 燍 穂 穡 燒
sheu 炻 奭
shi 束
shia 熌 鬺 焺 煶 甦 熣
shie 炶
shii 丗
shio 稍
shiu 朮
sho 税
shoa 煽
shoe 熵 爙
shou 燧 煔 亊 煫 穟
shu 石
shua 烁 豕 虪
shui 卅 烻 焂 爍
shuo 爽 黍 稅
shuu 丆
si 上
sia 瞬
siae 暑
siai 嵩
sie 叔
sii 肾
sio 裳
siu 帅
sj 所
sja 绍
sjaa 缫 銯 鎻 鏁 繅 絲
sjae 巳 鉰 釲 覗 钃
sjai 鐆
sjao 纾 鈶 鎟 幓 縿 縔 紓
sjau 紹
sje 夙
sjea 帴
sjee 鉽 縤
sjei 觫 繖 繬 銴 鏉 綀 絉 鉥 錰 鐁 鋉 繐 鎍 纚 鏾
sjeu 鋠 鉐 鏯
sji 师
sjia 绳 绅 缌 锶 缲 鍉 縄 鉂 鈻 繀 繰 紳 繩 緦 鍶
sjio 锁 绱 鑜 緔 鎖
sjiu 帅 纱 紗
sjo 缩
sjoe 铈 缞 繂 帹 鍦 鏣 縗 鈰
sjoo 縇 覾 铊 縮 鉈
sjou 缮 覢 鐥 帨 鎙 鎹 繸 鐩 繕
sju 绥
sjua 铄 铯 钑 繺 銏 銫
sjue 觞 鏼 鉎 絁 鉃 觴
sjui 锼 繌 鎨 師 帥 鑠 鎪
sjuo 绶 铩 鎩 綬 綏
sjuu 钐 虒 釤
sk 四
ska 司
skaa 咝 噝
skae 唰 呞
skao 嗓 吮 唆 嘇
ske 嘶
skea 啑
skee 嗉 呩
skei 嗦 嗽 嗜 哂 囌 叶
skeu 嗄
ski 虽
skia 呻 嗣 嘼 嗮 嗺 單
skie 嘘 噓
skio 哨 唢 嗩
sko 噻
skoe 嗾 唼
skoo 唦
skou 嗍
sku 史
skua 咰
skue 噬 喢 呏 匴
skui 嗖
skuo 啥 哸 唑
skuu 嘥
sl 势
sla 刷
slae 迉
slao 慅 剼 慴 竢
slau 劭
sle 速
slee 愫
slei 述 慎 逝 慑 恃 悚 竦 遫 懎 辻 竍 竪 憽 遬 憟 懾 勢
sleu 忕 慡 遀
sli 竖
slia 耜 愢 憴 遈 刪
slo 送
sloe 熟 適
sloo 邃 逤
slou 遂 剡 遡
slu 适
slua 煞 删 飒 愼 恀 颯
slue 剩 慯 竔 剰 遾
slui 麝 恦 愯
sluo 刹 忪 剎
sm 杀
sma 树
smae 籸 骕 橚 驌
smai 槂
smao 桑 骚 梭 睃 糁 毵 毶 槡 騒 槮 椮 枱 毿 糝 騷
smau 柖
sme 盛
smea 糣
smee 闩 栻 眎 榡 閂
smei 森 椹 眭 棽 阇 毢 糂 橵 糤 桒 栜 閪 欇 瞫 檧 駷 樕 闍 樞 樹
smeo 樗 骦 驦
smeu 枢 眘 枾 騻 樉
smi 省
smia 驶 驷 毸 氉 矂 杣 閊 柛 眒 榯 睗 橾 糬 閖 瞤 楒 騦 柶 櫢 駛 駟 柵
smie 檅
smio 梢 睄
smo 术
smoa 骟 榊 騸
smoe 梳 柿 睟
smoo 桫 桬 閯 榁 瞚 樎
smou 槊 檆 睒 椫 檨 燊 檖
smu 闪
smua 栅 杓 粣 馺 籶 橳 柹 眂 眡 杸 櫯
smue 睡 眚 栍 閐 駪 枡
smui 睢 榫 瞍 欆 騪
smuo 松 瞬 栓 毹 樧 騇 毺 橓 枀 枩 柗 閃
smuu 杉 盾 楯 榹
sn 生
sna 始
snaa 鸶 鷥
snae 祀 鹔 鷫
snao 姒 犙 褬 襂
snau 袑
sne 社
snee 襫 娀 嫊
snei 歭 鳾 襹 襩 裋 鶐
sneo 孀 鹴 鸘
sneu 耍 娠 祏 鷞 歳 祐 歲
sni 神
snia 视 孈 妽 鵿 褆 嬕 襡 鸀 媤 禗 牭 禩 媞 禪 姍 視
snie 歮 婌
snio 娋
sno 禅
snoe 嬗 嫬
snoo 婶 娑 嬸
snou 褨 鶑 祱 裞 嬘 禭 襚
snu 升
snua 姗 妁 祋 兟
snue 牲 姝 犞
snui 嫂 裑 鶳 孇 娰 姠
snuo 娞 鵨
snuu 衫 褷 禠 鷈 鷉
so 说
soa 讼
soe 飒
soeu 庶
soi 闩
soo 宋
sooe 漱
sooi 慎
sou 朔
sp 身
spa 氏
spaa 殳
spae 笋 笥 簨
spao 篸
spau 牊
spe 失
spea 箑
spee 矢 甥 甡 筭 朱
spei 舌 簌 乘 筮 簛 籭 簭
spi 算
spia 籔
spie 鼠 笘
spio 筲 箾
spiu 筛 箵
spo 食
spoe 弑 閷 箷 弒 笇 簑 簔
spoo 簺
spou 释 釈 釋
spu 笙
spua 笧 筍
spue 笶
spui 篩
spuo 篒 籂
spuu 簁
sq 时
sqa 甚
sqai 狲 猻
sqao 狻
sqe 匙
sqei 晒 暑 昰 欶 曬 時
sqeu 晟 昚 晠
sqi 申
sqia 曙 狦 曑 氠 獸
sqiu 狮 畃
sqo 狩
sqoo 猀 獣
sqou 晱 暛
squ 斯
squa 曻
sque 歃 昇 狌
squi 晌 獡 獀 獅
squo 猞 歙
sr 什
sra 似
srae 伺
srao 俟
srau 佋
sre 使
sree 舍 舒 畲 佘 仨 傃
srei 侍 仕 僳 舎 価 倯 俞 兪
sreu 佦
sri 伸
sria 偲 侺 佀 儩
srie 仩
sriu 倏 偗 倐 儵 翛
sro 僧
sroa 傓
sroe 儃 信
sroo 僿 俕
srou 伞 僐 傞
sru 伤
srua 仢
srue 侁 俬 傷
srui 傻 傁
sruo 俗 儍 倽 傘
sruu 傱
ss 山
ssa 水
ssae 饲 矧 飼
ssai 祟 邖
ssao 磉 叄 參
sse 射
ssee 丄 祘 亗
ssei 峙 崧 馓 鼭 卋 兙 硹 餗 饊
sseo 礵
sseu 叁 硕 参 輋 鼫 嵗 屍 碩
ssi 砂
ssia 蚀 砷 尿 屾 嵵 崼 舓 喪 蝕
ssio 揱 屬
sso 索
ssoe 碎 嵩 峷 峕 氺
ssoo 挲 硰
ssou 丧 屎 啬 磰 饍 餸
ssu 岁
ssua 舐 鸤 砕
ssue 饰 嵊 掱 鼪 飾
ssui 属 馊 嶲 巂 鵢 鳲 餿
ssuo 飤 嗇 殺
ssuu 磃 鼶 嵷
st 声
sta 埽
stae 壽
stai 壭
ste 士
stee 塐
stei 寺
steu 墭 塽
sti 墅
stia 埘 圸 墠 塒
stie 埱
sto 思
stoe 塾 墒 埣
stoo 塞 垨
stou 塑 墡
stu 垧
stua 圾 圴
stui 埏
stuo 畬
su 手
sua 删
suau 飕
sue 簌
suee 甥
suei 乘
sui 叟
suie 仕
suio 隼
suo 舒
sv 三
sva 甩
svae 鱐 阠
svai 夀
svao 鳋 鲹 鰺 矟 鮻 鰠 鯵
svau 邵 卲 鲺 鯴
sve 随
svee 亖 膆
svei 霜 邿 鯂 腎 聲
sveo 陕
sveu 隋 翜 脤 鮖 膸 陜 陝 隨
svi 腮
svia 臊 鳃 兕 鲥 胂 翨 鱢 鱓 鱦 鱪 鱰 腨 鳀 鰓 鰣 鯷
svie 鮛
svii 肾
svio 鮹
sviu 魦
svo 霎
svoa 鰰 邥 魫
svoe 膻 隡 翣 鳣 鱣
svoo 鲨 鯋 鰘 鯊
svou 膳 朔 隧 鳝 鄯 榺 賸 鱔 勝
svu 胜
svua 雭 兘
svue 稣 甧 阩 陞 陹 陎 穌
svui 鯓 鰤 膄 脽 鄋
svuo 耸 腧 脎 厁 鄃
svuu 聳
sw 市
swa 收
swaa 率 璅
swae 璛
swai 瓍
swau 玿
swe 散
swee 瑟 璱
swei 韘 瓧 瑹 璹 聖
swi 衰
swia 孰 髞 珅 數
swio 琐 琑 瑣
swo 数
swoo 玊
swou 商 敾 璲
swu 珊
swua 椉 珟
swue 珄
swui 瑡
sx 少
sxa 恕
sxai 愻
sxe 素
sxei 穼 怷 書
sxi 尚
sxia 尙
sxie 尗
sxio 粛
sxiu 肃 肅
sxo 粟
sxoe 窣
sxoo 斘
sxou 愬
sxu 怂
sxua 鼡 惢
sxui 恖
sxuo 飧
sxuu 慫
sy 谁
sya 酸
syae 訠
syai 収
syao 诵 颡 羧 誜 顙 誦
syau 韶 譅 戠
sye 圣
syee 试 試
syei 诗 誓 酾 疎 詍 詩 釃
syeu 譇
syi 识
syia 讪 谡 顋 訷 譝 諟 訕 謖
syie 叔 顪
syio 裳
syo 善
syoa 謆
syoe 疏 谇 羶 譱 謪 識 誶
syoo 裟 谉 讅 叜
syou 谥 羴 謚 説 譢
syu 设
syua 訯 設
syue 酥 诜 詵
syui 顺 叟 醙 謏 雙 誰 順
syuo 颂 讼 谂 諗 諡 說 訟 頌
syuu 诉 謕 訴
sz 受
sza 书
szae 肆 孠 貄
szao 乨
sze 尸
szei 署 隼 罧 踈 趚 躠
szi 孙
szia 售 舢 赸 罳 跩 雖
szio 艄
szo 舜
szoo 乷 蹜
szou 艏
szu 艘
szua 蜀 跚 趿 孫
szue 箰
szui 跾 艭
szuo 趖
szuu 乺
t 他
ta 她
taa 驼
tae 屠
taeu 屉
tai 陀
tau 迢
tb 痛
tba 瘫
tbae 弚
tbau 髫
tbe 贉
tbea 貣
tbei 髰 瘏 癱
tbeu 鬌
tbi 贴
tbia 甸 痋 鬄 畠 痶 賟 痌
tbie 貼
tbo 痰
tbou 赕 鬀 賧
tbu 疼
tbua 痑
tbue 匋 痜
tbui 魄
tbuo 贪 貪
tc 徒
tca 苔
tcae 螁 荨 徲 蕁
tcai 藬 彵
tcao 蓪
tcau 龆 苕 芀 齠
tce 厅
tcea 荑 芚 軘
tcee 蚕 菾
tcei 薹 芏 蘳 萔 艼 蘣 蓷 萚 蘀
tceu 薚
tci 螳
tcia 茼 萜 蝪 蝭 厛 衕 赨
tco 蜕
tcoe 螗 葶 蕫 蓎 赯 厗 蝏
tcoo 菭 藫 葖 蒤
tcou 菼 莌
tcu 藤
tcua 萄 菟 蜩 蜪 虅 蚒
tcue 蜓 莛 芺 蕛 薙 蛈 蘈
tcui 蟘 蓚 蓨 螩 莵 蓧
tcuo 荼 蛻
td 太
tda 汤
tdaa 湪
tdae 漽 潳 涒
tdao 滩
tde 套
tdea 洟
tdee 涛 添 夳 溙
tdei 潭 汀 溚 澾 夲 鼟 斢 汢 漙 灘 濤
tdeu 汰 汏 奤 殢 沰 頭
tdi 兔
tdia 湍 漯 溻 涾 湠 沺 淟 湯
tdio 淌 漟
tdo 涕
tdoe 潼 溏 渟
tdoo 沱 冭 湉 涋 湥
tdou 羍 漛
tdu 涂
tdua 淘 澹 浵
tdue 漡 涏 汑 涶
tduo 滔 殄 洮 凃
te 天
tee 吞
tei 掏
teie 捅
teiu 檀
teo 霆
teu 碳
tf 托
tfa 抬
tfae 捸
tfai 撱
tfao 摊 捅 颱
tfe 拓
tfee 抟 掭
tfei 擡 擹 罈 搷 撎 撻 攤 摶
tfeu 挞 拵
tfi 提
tfia 抩 搨 罎 掦 捵
tfio 摚
tfo 探
tfoe 搪 揥 擿
tfoo 揬 拕
tfou 挮 捝
tfu 挺
tfua 投 掏
tfue 拖 扥 摥
tfui 推
tfuo 挑 搯 捈 挩
tg 它
tga 唐
tgae 廜
tgai 弢
tgau 鞁 鞀
tge 庹
tgea 庉
tgei 鞳 骵 庁 廰 廳
tgeu 宊
tgi 戙
tgia 鞜 鞓 彈 體
tgio 鞺
tgo 弹
tgoo 弾
tgu 庭
tgua 骰 靸 庝
tgui 魋
tguo 鞱 鞉 庣 宨 庩 骽
th 土
tha 屯
thae 煺
thao 烃 炱 秮 炲 熥
the 燤
thea 黗 烴
thei 燂 黮
theu 戻
thi 馟
thia 爞 畑 烔 秱 煓
thio 爣
tho 烫
thoe 燑 煻 穜 焞
thoo 燙
thou 焍 煔 稊
thu 秃
thua 炵 穨 禿
thue 烶
thuo 大 稌
ti 同
tia 蹋
tiae 嚏
tiai 峒
tio 棠
tj 统
tja 帑
tjai 鈯
tje 钛
tjea 銕
tjee 鐟
tjei 钍 镡 鎝 鐡 鐢 鏄 鐵 釷 鐔
tjeo 铽 鋱
tjeu 鈦 靦
tji 铜
tjia 缇 钽 鎉 钿 錔 觍 錪 絧 鉵 鈿 鉭 緹 覥 銅
tjie 帖
tjio 镗 镋 鎲 钂 鐺 鏜
tjo 铊
tjoe 鎕 鍗 綂 統
tjoo 钭 铴 紏 紽 鈄 鉈 鐋
tjou 锑 绨 锬 緂 錟 銻 綈
tju 铁
tjua 绦 绹 鋾 錭 鉖 綯
tjue 铤 鉄 綎 鋵 鋌
tjui 縧 鋚 鎥
tjuo 鋖 幍 縚 絩 覜 鍮 緰 紾
tjuu 鍎
tk 听
tka 叹
tkae 圕
tkao 嗵 圗
tkau 叨 囼
tke 团
tkea 囤 啑 吨 嚃
tkee 吞 囲
tkei 吐 嚏 嗒 圑 嘆 嚔 黇 団 團
tkeu 呔
tki 凸
tkia 鼍 圌 嚺 啺 唺 哃 嘽 圖
tkie 呫
tkio 嘡
tko 啼
tkoe 啻 噋 啍
tkoo 咜 図
tkou 啴
tku 图
tkua 啕
tkue 唾 呑
tkui 咃
tkuo 嗿 咷 唋
tkuu 嗁
tl 通
tla 退
tlae 憳
tlao 邆
tlau 迢
tle 恸
tlea 忳
tlee 焘 悿
tlei 懛 憛 耓 剸 慱 達 燾
tleu 达 迖 忕 忲
tli 童
tlia 剔 惕 遢 恫 迵 咅 惿 逷 遝
tlie 怗
tlio 耥 惝 劏 戃
tlo 剃
tloe 憻 遆 勭
tloo 迱
tlou 悌 惔
tlu 逃
tlua 逖 迯 迌
tlue 透 廷 恬 怢 慟
tluo 途 慆 恌 悇
tm 糖
tma 桶
tmaa 朰
tmai 椭 粜 橢
tmao 枱 骀 樋 駘
tme 驮
tmee 梼
tmei 橐 阗 朾 榙 檯 橝 驖 槫 驝 闧 闥 檮 闐
tmeu 闼 粏 楕 毻 馱
tmi 桐
tmia 榻 阘 毾 糃 騠 睓 睼 桯 眮 粡 檲 糰 驒 闒 鼉
tmio 棠 樘 橖 糛 闛 矘
tmo 梯
tmoe 瞳 檀 橔 榶 楴 楟 榳 橦 氃
tmoo 驼 柁 騨 駝
tmou 毯 駦 驣 駾
tmu 桃
tmua 騊 盷
tmue 梃 閮 杔 馲 駞
tmui 騩 樤
tmuo 眺 槄 駣 梌 駼 毤
tmuu 柝
tn 特
tna 褪
tnaa 褖 禒
tnae 鷵
tnai 牠 祂 嫷
tnao 嬥
tnau 祒
tne 禫
tnea 鴺
tnee 婖
tnei 嬯 犆 鷏 鷋 鷒
tneu 袥
tni 袒
tnia 裼 姛 褆 褟 禢 鷤 媞 鶗 禔
tnii 襨
tno 婷
tnoe 襢 禟 鶶 鶙 褅 犝 妵 鷻
tnoo 鸵 鶟 袉 鴕
tnou 鹈 裧 婒 娧 鵜
tnu 祧
tnua 祹 裪 鷆 鵵
tnue 娗 鵚
tnuo 嫍 婾 媮 鵌 鵎
tnuu 鷈 鷉
to 头
toa 谭
too 添
tooe 汀
tooi 恬
tp 筒
tpa 笤
tpao 籊 筩
tpe 箨
tpea 乇
tpei 籉 篿 籜
tpi 兎
tpo 鼗
tpoe 篖
tpoo 箈
tpu 彤
tpua 籐 籘
tpue 筳
tpuo 筡 牏
tq 替
tqa 旫
tqe 昙
tqea 旽
tqei 獭 曋 獺 歎
tqeo 曇
tqeu 旲
tqi 晍
tqia 晪 狪 猯
tqio 曭
tqo 暾
tqoe 暜 歒 獞 曈
tqu 靔
tqua 惖
tque 狧 濌 靝 狏
tquo 晀
tr 停
tre 仝
tree 傣 僣 嵞
trei 侤 儓 仐
tri 倘
tria 侗 氽 佃 侱 傝 偒 偍 倎 僓
trie 俶
trio 傥 儻
triu 鞗 鯈 絛 條
tro 佗
troe 俯 傏 僮 侂
trou 倓 儯 侻
tru 偷
trua 佟 倜
true 仛 侹
truo 佻 僋 偸 俀
ts 台
tsa 田
tsaa 乭
tsau 饧 岧 岹
tse 泰
tsea 饨 豘 飩
tsee 舔 漦
tsei 甜 屠 屉 嵮 磹 躰 甛 磌 臋
tseo 嶀
tseu 炭 餮
tsi 躺
tsia 沓 峒 碳 饕 峝 硐 崉 舑 飸 畓 軆 屇 餇 碢 餳
tsie 碵
tsio 饄
tso 砣
tsoe 嵣 磄 餹 崹 嵉
tsoo 鼵 岮 鼧
tsou 餤 舕
tsu 砼
tsua 舚 峂 鼨
tsue 餂 鼮 饦 砤 矺 飥
tsuo 汆 饀 飻 峹
tsuu 磃 屜
tt 堂
tta 坮
tte 塔
ttea 坉
ttee 坛
ttei 填 榃 墰 鼞 町 圢 塼
tteo 墵
tteu 堶
tti 坦
ttia 塌 垌 堤 臺 壜
ttio 坣
tto 塘
ttoa 槖
ttoe 疃 壇
ttoo 坨 堗 圡 塗
ttou 埮
ttu 坍
ttua 堍 塡
ttue 畋 畽
ttui 鴫
ttuo 墖
tu 体
tua 胎
tue 廷
tui 倜
tuo 途
tv 脱
tva 腿
tvae 臀
tvai 阤
tvao 胎 邰 鲐 膯 霯 鮐
tve 豚
tvea 鲀 魨
tvee 霕 聽
tvei 耵 聑 聴 鄟 鱄
tveo 脦
tveu 肽 腼
tvi 膛
tvia 腆 鳎 隄 鳀 鲖 隤 鰨 鯷 鮦
tvie 胋
tvio 隚
tviu 斄
tvo 腾
tvoe 膻 鄌 膅 聤 朣 膧 朜
tvoo 陀 鮀
tvou 滕 郯 幐 縢 螣 鰧 鮷 謄 騰
tvu 陶
tvua 鲦 翢
tvue 霆 脡 魠 陁
tvui 鯅 鰷
tvuo 聎 朓 脁 脮 鮡 脫
tvuu 腯
tw 条
twe 黈
twei 瑹 瑱
twi 亭
twia 瑅 琠
two 瑭
twoe 璮
twu 韬
twue 璳 珽
twuo 瑫 兲 韜
tx 突
txa 聼
txao 態
txe 态
txee 忝 慝
txei 忑 窴
txeo 忒
txi 忐
txia 覃
txu 窕
txua 彖 悐
txue 憅
txui 怹 窱
ty 题
tya 詜
tyai 訑
tye 讨
tyei 谭 醰 譚 討
tyeu 酞
tyi 酮
tyia 醍 羰 詷 誻 尵 題
tyie 酟
tyo 谈
tyoa 醓
tyoe 醣 譶 譠 諪
tyoo 酡 詑
tyou 誊 顃 談
tyu 调
tyua 酘 醄 調
tyue 颓 颋 誔 頺 頽 讬 託 頲 頹
tyuo 酴 謟 誂 頫
tyuu 謕
tz 跳
tza 妥
tzae 蹆
tzai 糶
tzao 跆 孡 趯
tze 跿
tzei 躂
tzeu 跶 舦
tzi 踏
tzia 踢 蹋 躢 貚 踼 趧 貒 蹪 踻
tzio 趟 蹚
tzo 蹄
tzoe 罿 艟
tzoo 跎
tzou 罤
tzu 艇
tzua 趿
tzuo 蹹 趒
tzuu 蹏 跅
v 而
va 阿
vai 隘
vau 媪
vb 癌
vba 痾
vbe 贰
vbee 貮 貳
vbei 疴
vbeu 痷 匎 髵
vbi 皑
vbia 齃 皚
vbo 賹
vbu 皧
vbua 歺
vbue 皒
vc 艾
vca 厄
vcaa 軪
vce 藕
vcee 螯 厫 蔜
vcei 蝁 蚵 螜 藲 蓲 蘁 虉
vceo 轜
vceu 轭 苊 菴 蚅 荋 輀 薾 軛
vci 萼
vcia 蒽 厑 蕚 齵 軮 齶
vcio 厰
vco 蔼
vcoa 軶
vcoe 广 萻 蓭 藹
vcoo 荌 蕅
vcu 蛾
vcue 莪 芺
vcuo 薆 葊
vd 奥
vde 洱
vdee 滶
vdei 濭 漚
vdeu 沤 奀 洏
vdi 湂
vdia 凒 溰 湡
vdo 洝
vdu 澳
vdue 涐
vdui 溾 澚 奧
ve 二
vei 拗
veo 霭
vf 按
vfa 挨
vfaa 拗 抝
vfe 扼
vfei 搹 擜
vfeu 捱
vfi 摁
vfiu 毮
vfo 揞
vfou 搤
vfu 旕
vfue 扷
vfui 擙
vg 鞍
vge 庵
vgee 廒
vgei 廅
vgo 骯
vgoo 鞌
vgu 鞥
vh 耳
vha 戹
vhe 熰
vhi 噩
vhia 馣 煾
vhie 琧
vho 黯
vhoe 爊
vhu 厂
vhua 歹
vhui 奡
vhuo 爾
vi 暗
via 峨
viae 呕
vj 锷
vja 锕
vjai 錒
vje 鏊
vjei 铒 鑩 鏂 鉺
vjeu 鈪
vji 覨
vjia 錌 鍔
vjo 铵
vjoe 锿 鏕 鎄
vjoo 銨
vju 锇
vjua 兒
vjue 鋨
vjui 鈋 鐭
vjuo 鑀
vk 啊
vka 唉
vkae 喔
vke 呆
vkee 嗷 嗸
vkei 哎 噁 咡 呵 嚄 哑 圔 嘔 啞
vkeu 呃 呕 嗄 啀 唵
vki 嗯
vkia 凹 嚣 嘊 咢 嚻 區 囂
vko 嗌
vkoa 呝
vkoo 咹
vkou 吖
vku 哦
vkue 吽 吘
vkui 噢 吪 囮 唲
vkuo 嗳 区 啽 匼 噯
vl 愕
vle 熬
vlee 遨 慠 迗
vlei 剾 慪
vleu 怄 邇
vli 遏
vlia 耦 遌 遻
vlu 懊
vlua 迩 懝
vluo 鏖 懓
vm 案
vma 柪
vmao 騃
vmau 杒
vme 骜
vmee 樲 鼇 驁
vmei 櫮 栮 駬 眲 櫙 閜
vmeo 檽
vmeu 枙 栭 粫 橑 睚
vmi 盎
vmo 桉
vmoe 闇 阏 閼
vmu 盦
vmua 枊
vmue 睋 騀
vmuo 瞹
vn 鹅
vna 婀
vnai 娿
vnao 娭
vnau 妿
vne 鸥
vnee 鷔 嫯
vnei 鴱 妸 鷗
vneu 鹌 鸸 娾 袻 鴎 鵪 鴯
vni 鹗
vnia 媪 婩 婐 媼 鶚
vnu 娥
vnue 袄 鵞 鵝
vnui 襖
vnuo 嫒 媕 姶 嬡
vo 安
voa 袄
vp 乂
vpe 耏
vpi 筽
vpia 簢
vq 欧
vqa 欸
vqe 獒
vqee 犴 獓
vqei 昻 歐
vqeu 晻
vqi 敱
vqia 歞
vqo 氨
vqoa 昹
vqu 昂
vquo 暧 曖
vr 俄
vra 佁
vre 傲
vrei 佴 盫 僫
vreu 俺 伌 侕
vri 偶
vria 儑 偔
vriu 尒
vro 侒
vru 僾
vrua 儗
vs 岸
vsa 屙
vsaa 岰
vsae 峎
vse 殴
vsee 嶅 摮 磝
vsei 饵 砹 餌 毆
vseu 砈 屵 峏 崖
vsi 碍
vsia 嵦 餲 崿 礘
vso 砨
vsoa 豟
vsoe 硋
vsoo 峖
vsou 磀
vsu 矮
vsua 岇 岋 砐 峉 礙
vsue 饿 峨 岙 躷 峩 硪 餓
vsui 嶭 嶴
vsuo 硆 餩
vt 埃
vta 坳
vtaa 毐
vte 垩
vtei 壒 塸 堊
vteu 埯 堐
vti 堨
vtia 堓 垇 堮
vto 塧
vtoe 堷
vtoo 垵
vtu 墺
vu 儿
vua 饿
vui 俺
vv 鄂
vva 叆
vve 鳌
vvee 聱 隞 鰲 弍 弐 靉
vvei 雸 鰪 膒 鱷
vveo 隭
vveu 腌 鲕 阨 陑 胹 聏 鮞
vvi 鳄
vvia 腭 卾 鰐 腢
vvii 児 刵
vvo 肮
vvoa 霭 阸
vvoe 腤 隌 靄
vvoo 胺 鮟
vvou 隘
vvu 翱
vvua 魥 卬
vvue 毦
vvui 翶 翺 魤 鵈 隩
vvuo 鱫
vw 哀
vwe 敖
vwee 璈
vwei 珥 玵 甌
vweu 瓯
vwi 敳
vwu 瑷
vwue 珴
vwuo 璦
vx 尔
vxe 恶
vxei 悪 衈 惡
vxi 恩
vxio 夞
vxu 尓
vy 额
vya 诶
vyaa 詏
vyao 誒
vye 讴
vyee 謷 謸
vyei 譪 讍 誀 醧 謳
vyeu 醃
vyi 颚
vyia 谔 醠 諰 諤 顎
vyo 谙
vyoe 醷 諳
vyoo 頞 額
vyu 讹
vyua 譺 頟 詻
vyue 誐
vyui 鶕 訛
vyuo 誝 韽 譌
vz 爱
vze 豻
vzeu 趰
vzo 乻
vzoa 愛
vzoe 罯
vzou 貖
vzu 乯
vzue 镺
w 我
wa 维
waa 纨
wao 骛
wau 妩
wb 卧
wba 齆
wbe 痦
wbea 齀
wbee 貦
wbei 贎
wbeu 痏 鼿 贀
wbi 瘟
wbia 贃
wbo 皖
wboa 瘒
wbu 勿
wbua 尣
wbue 痿
wbuo 癐
wbuu 癓
wc 往
wca 尉
wcae 蔚 龌 芛 荱 螱 藯 蟁 屗 茟 齷
wcai 徫 衞 葦 衛
wcao 蓩
wce 苇
wcee 芜 彺 蚟 苿 轊 蚖
wcei 蛙 蜹 徍 薳 莁 蘁
wceu 葳 蝛 軏
wci 微
wcia 蜈 蜗 莴 辋 蔓 軎 蟃 菵 蛧 蝄 葨 蓶 菋 辒 輼 茣 萬 輞 蝟 轀 萵 蝸
wcie 薉
wco 蚊
wcoe 蕹 莣 芠
wcoo 蜿 菀 輐 莞 蕰 薀
wcou 蒍
wcu 薇
wcua 芄 芴 葂 輓 莬
wcue 萎 蟱 徃 蜲 蘶 蕪
wcui 蘤 蒦 蜼 螐
wcuo 蓊 徻 薶 薍 蔿 螉
wd 文
wda 渥
wdaa 潍 濰
wdae 浘
wdai 湋 濻
wdao 奦
wde 污
wdee 汪 汚 汙
wdei 洼 浯 澫 濣
wdeu 危 洧 洿
wdi 温
wdia 涡 渭 涠 浻 免 渨 溦 瀢 殟 渂 洖 潿 溫 渦
wdo 湾
wdoe 汶 瀤 瀇 灣
wdoo 豌 浣 溛 漥 涴
wdou 沩 渞 潫 溈
wdu 沃
wdua 沕 歾 汍 洈
wdue 涹 潕
wdui 溾 溩
wduo 潙 滃
we 无
wea 瓦
wee 鹉
wei 吾
weo 雯
weu 歪
wf 握
wfa 捤
wfai 颹
wfe 捂
wfee 扝 抂 抏
wfei 挝
wfeu 揻 扤
wfi 捰
wfia 揋 揾 搵 撾
wfo 挖
wfoe 抆 罋
wfoo 搲 攨 捥 捾
wfu 挽
wfui 摀
wfuo 於
wg 完
wga 寤
wge 威
wgee 庑 弙
wgei 韈
wgeu 戊 靰
wgi 魍
wgo 弯
wgoe 彎
wgu 宛
wgua 鞔 骩 骪 骫
wgue 魏 廡
wgui 廆
wguo 寪
wh 王
wha 万
whaa 瓦
whae 煀
whai 煒
whao 熃
whau 委
whe 韦
whee 炜 熭
whei 焐 烓
whi 五
whia 煨 焹 煟 馧
whie 臦
whiu 巫
who 烷
whoe 炆
whoo 焥
whu 稳
whua 卼
whui 熓
whuo 燰 穏 穩
wi 晚
wia 哇
wiae 呜
wie 龌
wj 纹
wja 幄
wjai 鍏 幃 緯
wje 纬
wjee 帏 鏏 釫 錻
wjei 铻 鋙
wjeo 鋄 錽
wjeu 縅
wji 鍡
wjia 鋘 緭 鎾 網
wjo 绾
wjoe 鈫 紋
wjoo 鋈 綄 帵 綩 鋺 綰
wju 帷
wjua 纨 钨 鋔 絻 紈
wjue 覣 錗
wjui 觹 維 鎢
wjuo 鎓
wjuu 覹
wk 围
wka 喔
wkae 呡 呉 吳
wkai 喡 圍
wke 味
wkea 咓
wkee 吴
wkei 吾 哇 唔 噁
wkeu 喴
wki 喂
wkia 凹 嗗 嗢 喎
wko 罔
wkoe 呅
wkoo 啘 唍
wku 网
wkua 吻 呜
wkue 呚 唩 啎
wkui 唯 唲 嗚
wkuo 嗡 罓
wkuu 呱
wl 违
wla 剭
wlai 愇 違
wlao 務
wle 悟
wlee 怃 刓 忨 忹 迋
wlei 劸 竵 逜
wli 惘
wlia 遗 遻 愄 悞 悮 麌 遺
wlo 惋
wloe 迬
wloo 剜
wlou 為
wlu 惟
wlua 刎 恑
wlue 忤 逶 迕 無 憮
wluo 懀 勜
wm 问
wma 毋
wmaa 闗
wmae 梶 楃
wmai 椲 闈
wmao 骛 騖
wme 闻
wmea 杤
wmee 枉 闱 杇 杅
wmei 梧 鼃 聞
